X,Y,fid,fclass,population,name,icon_url
4.4203917,36.8930725,"551",town,"16847",Azeffoun,./4.png
5.5111895,35.8178542,"552",town,"37970",Aïn Azal,./1.png
6.0111235,33.4972965,"553",town,"0",Sidi Amrane,./3.png
0.7128356,29.7026797,"554",town,"0",Zaouiet Debagh,./3.png
7.1397687,36.1599089,"555",town,"18894",Tamlouka,./2.png
6.8563693,36.7044252,"556",town,"29764",Salah Bouchaour,./1.png
8.479926,26.504191,"557",town,"17252",Illizi,./4.png
4.4882869,32.7885786,"558",town,"59514",القرارة,./0.png
1.2458048,34.8924859,"559",town,"15293",Medrissa,./4.png
2.9509064,36.7355249,"560",town,"27593",Ouled Fayet,./1.png
3.0166197,36.790372,"561",town,"83797",Bouzareah,./0.png
0.6816434,35.7959797,"562",town,"0",وادي الجمعة,./3.png
5.0275437,36.5405974,"563",town,"0",Tizi Tindjit,./3.png
3.0595865,36.7846766,"564",town,"36762",القصبة,./1.png
-0.0487475,35.3151335,"565",town,"18576",Bouhanifia ⴱⵓⵃⴰⵏⵉⴼⵉⵢⴰ بوحنيفية,./2.png
3.2244016,35.6337386,"566",town,"30913",Birine,./1.png
7.0042609,35.0383313,"567",town,"27428",Chechar,./2.png
-0.1933113,27.2300419,"568",town,"0",Zaouiet Kounta,./3.png
5.8486411,36.7518871,"569",town,"38468",Emir Abdelkader,./1.png
-0.2874884,27.8733807,"570",town,"64781",Adrar,./0.png
4.7103173,36.5637897,"571",town,"0",مسيسنة,./3.png
3.1469178,36.7288713,"572",town,"62555",Mohammadia المحمدية,./0.png
3.1085569,36.7313349,"573",town,"31453",El Magharia,./1.png
3.9571285,36.5407471,"574",town,"61263",Boghni,./0.png
7.7206192,36.8214092,"575",town,"83254",Sidi Amar,./0.png
2.5157705,35.4381272,"576",town,"13661",Sidi Ladjel,./4.png
4.1964738,36.5829452,"577",town,"0",Aït Yenni,./3.png
2.7870809,34.468187,"578",town,"0",Beni Yagoub,./3.png
9.1635246,31.5948858,"579",town,"3205",البرمة,./3.png
0.801238,35.7933416,"580",town,"12364",Beni Dergoun بني درقن,./4.png
-0.9542742,34.9299907,"581",town,"10286",Aïn Tallout,./3.png
6.0391589,36.4581588,"582",town,"27086",Rouached,./2.png
-0.5220152,35.6579939,"583",town,"114050",Sidi Chami,./0.png
-1.2910642,34.9207591,"584",town,"47600",Chetouane,./0.png
3.273666,32.9458855,"585",town,"22133",Hassi R'Mel,./2.png
-0.6944968,35.1651869,"586",town,"25000",Sidi Lahcene,./2.png
4.7739725,36.6155408,"587",town,"0",El Had الحد,./3.png
6.5700192,37.0066244,"588",town,"0",Collo,./3.png
